[2019-11-05:08:26:24]	id_facture='21756' AND id_facture='21756' AND  migcms_deleted != 'y' 
[2019-11-05:08:26:29]	id_facture='21756' AND id_facture='21756' AND  migcms_deleted != 'y' 
[2019-11-05:08:26:39]	 (  LOWER(id) LIKE '%20191443%'  OR  LOWER(adresse_rue) LIKE '%20191443%'  OR  LOWER(adresse_numero) LIKE '%20191443%'  OR  LOWER(adresse_ville) LIKE '%20191443%'  OR  LOWER(lastname) LIKE '%20191443%'  OR  LOWER(firstname) LIKE '%20191443%'  OR  LOWER(city) LIKE '%20191443%'  OR  LOWER(email) LIKE '%20191443%'  OR  id_member_agence IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191443%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  id_agence2 IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191443%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  facture_civilite_id IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191443%' AND id_code_type='1' and visible='y' ) OR  LOWER(facture_nom) LIKE '%20191443%'  OR  LOWER(facture_prenom) LIKE '%20191443%'  OR  LOWER(facture_societe_tva) LIKE '%20191443%'  OR  LOWER(facture_city) LIKE '%20191443%'  OR  LOWER(facture_country) LIKE '%20191443%'  OR  LOWER(facture_email) LIKE '%20191443%'  OR  id_facture_liaison IN ( select id FROM intranet_factures WHERE fusion_facture LIKE '%20191443%' ) OR  id_code_cible IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191443%' AND id_code_type='2' and visible='y' ) OR  LOWER(code_promo) LIKE '%20191443%'  OR  LOWER(numero_facture) LIKE '%20191443%'  OR  LOWER(statut) LIKE '%20191443%'  OR  delai IN ( select id FROM handmade_certigreen_delais_facturation WHERE nom LIKE '%20191443%' ) OR  LOWER(delai_autre) LIKE '%20191443%'  OR  LOWER(reference) LIKE '%20191443%'  OR  envoyee_a IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191443%' AND id_code_type='3' and visible='y' ) OR  LOWER(migcms_id) LIKE '%20191443%'  )  AND validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
[2019-11-05:08:26:45]	id_facture='21443' AND id_facture='21443' AND  migcms_deleted != 'y' 
[2019-11-05:08:26:52]	id_facture='21443' AND id_facture='21443' AND  migcms_deleted != 'y' 
[2019-11-05:08:27:01]	 (  LOWER(id) LIKE '%20191529%'  OR  LOWER(adresse_rue) LIKE '%20191529%'  OR  LOWER(adresse_numero) LIKE '%20191529%'  OR  LOWER(adresse_ville) LIKE '%20191529%'  OR  LOWER(lastname) LIKE '%20191529%'  OR  LOWER(firstname) LIKE '%20191529%'  OR  LOWER(city) LIKE '%20191529%'  OR  LOWER(email) LIKE '%20191529%'  OR  id_member_agence IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191529%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  id_agence2 IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191529%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  facture_civilite_id IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191529%' AND id_code_type='1' and visible='y' ) OR  LOWER(facture_nom) LIKE '%20191529%'  OR  LOWER(facture_prenom) LIKE '%20191529%'  OR  LOWER(facture_societe_tva) LIKE '%20191529%'  OR  LOWER(facture_city) LIKE '%20191529%'  OR  LOWER(facture_country) LIKE '%20191529%'  OR  LOWER(facture_email) LIKE '%20191529%'  OR  id_facture_liaison IN ( select id FROM intranet_factures WHERE fusion_facture LIKE '%20191529%' ) OR  id_code_cible IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191529%' AND id_code_type='2' and visible='y' ) OR  LOWER(code_promo) LIKE '%20191529%'  OR  LOWER(numero_facture) LIKE '%20191529%'  OR  LOWER(statut) LIKE '%20191529%'  OR  delai IN ( select id FROM handmade_certigreen_delais_facturation WHERE nom LIKE '%20191529%' ) OR  LOWER(delai_autre) LIKE '%20191529%'  OR  LOWER(reference) LIKE '%20191529%'  OR  envoyee_a IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191529%' AND id_code_type='3' and visible='y' ) OR  LOWER(migcms_id) LIKE '%20191529%'  )  AND validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
[2019-11-05:08:27:04]	id_facture='21708' AND id_facture='21708' AND  migcms_deleted != 'y' 
[2019-11-05:08:27:11]	id_facture='21708' AND id_facture='21708' AND  migcms_deleted != 'y' 
[2019-11-05:08:27:20]	 (  LOWER(id) LIKE '%20191695%'  OR  LOWER(adresse_rue) LIKE '%20191695%'  OR  LOWER(adresse_numero) LIKE '%20191695%'  OR  LOWER(adresse_ville) LIKE '%20191695%'  OR  LOWER(lastname) LIKE '%20191695%'  OR  LOWER(firstname) LIKE '%20191695%'  OR  LOWER(city) LIKE '%20191695%'  OR  LOWER(email) LIKE '%20191695%'  OR  id_member_agence IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191695%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  id_agence2 IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191695%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  facture_civilite_id IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191695%' AND id_code_type='1' and visible='y' ) OR  LOWER(facture_nom) LIKE '%20191695%'  OR  LOWER(facture_prenom) LIKE '%20191695%'  OR  LOWER(facture_societe_tva) LIKE '%20191695%'  OR  LOWER(facture_city) LIKE '%20191695%'  OR  LOWER(facture_country) LIKE '%20191695%'  OR  LOWER(facture_email) LIKE '%20191695%'  OR  id_facture_liaison IN ( select id FROM intranet_factures WHERE fusion_facture LIKE '%20191695%' ) OR  id_code_cible IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191695%' AND id_code_type='2' and visible='y' ) OR  LOWER(code_promo) LIKE '%20191695%'  OR  LOWER(numero_facture) LIKE '%20191695%'  OR  LOWER(statut) LIKE '%20191695%'  OR  delai IN ( select id FROM handmade_certigreen_delais_facturation WHERE nom LIKE '%20191695%' ) OR  LOWER(delai_autre) LIKE '%20191695%'  OR  LOWER(reference) LIKE '%20191695%'  OR  envoyee_a IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191695%' AND id_code_type='3' and visible='y' ) OR  LOWER(migcms_id) LIKE '%20191695%'  )  AND validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
[2019-11-05:08:28:09]	id_facture='22427' AND id_facture='22427' AND  migcms_deleted != 'y' 
